title_spanish,tconst,actors,director,writter
Silo,tt14688458,"nm0272581,nm0996669,nm0000209",,nm5059629
Separación,tt11280740,"nm0004395,nm3138882,nm7100086",,nm9772311
Caballos lentos,tt5875444,"nm0000198,nm4110963,nm0000218",,nm0052218
Observada,tt16294384,"nm0000949,nm0000177,nm0056187",,nm0190859
Ted Lasso,tt10986410,"nm0842596,nm0837177,nm1821446",,nm0402360
Prime Target,tt31186958,"nm10695146,nm9165599,nm0461746",,nm1839162
Terapia sin filtro,tt15677150,"nm0781981,nm1790970,nm8374329",,nm2073429
Presunto inocente,tt17677860,"nm0350453,nm1550948,nm0131966",,nm0005082
Materia oscura,tt19231492,"nm0249291,nm0000124,nm0103797",,nm5458813
Tú también lo harías,tt18988142,"nm1944825,nm1308063,nm0869718",,nm2553218
Hermanas hasta la muerte,tt15469618,"nm1279721,nm2497366,nm2016723",,nm0046329
Para toda la humanidad,tt7772588,"nm2486357,nm1172478,nm2997668",,nm0601822
The Morning Show,tt7203552,"nm0000098,nm0000702,nm0001082",,nm5966976
Encerrado con el diablo,tt4301160,"nm5473782,nm3236159,nm4209180",,nm0227111
Fundación,tt0804484,"nm0364813,nm10306608,nm3238246",,nm0001920
Los amos del aire,tt2640044,"nm4360085,nm4996269,nm2581521",,nm0052218
La otra cara de la Luna,tt0381476,"nm1455485,nm1320845,nm1457062",nm1069039,
Lobos,tt14257582,"nm0752407,nm3641002,nm0000123",nm1218281,nm1218281
Napoleón,tt13287846,"nm0001618,nm3948952,nm2588665",nm0000631,nm0769227
Lecciones de química,tt13911628,"nm0488953,nm5730649,nm3813115",,nm6145073
Los asesinos de la luna,tt5537002,"nm0000138,nm0000134,nm4291409",nm0000217,nm0744839
Servant,tt8068860,"nm0024404,nm1527905,nm4836100",,nm0059735
Defender a Jacob,tt2304589,"nm0262635,nm1890784,nm5897057",,nm0093560
See,tt7949218,"nm0597388,nm1679778,nm2623492",,nm1140275
Sugar,tt16418808,"nm0268199,nm4624730,nm0752407",,nm0698873
Pachinko,tt8888462,"nm3316279,nm7949518,nm9844071",,nm1730031
Tetris,tt12758060,"nm5473782,nm10593697,nm4548743",nm1580671,nm3300218
The Shrink Next Door,tt11947248,"nm0002071,nm0748620,nm1063517",,nm4581341
The Crowded Room,tt14417718,"nm4043618,nm1086543,nm7603745",,nm0326040
Mythic Quest: banquete de cuervos,tt8879940,"nm0568390,nm1787506,nm3950075",,nm0206359
Las gotas de Dios,tt15282746,"nm1311744,nm7851207,nm8358920",,nm2898320
Argylle,tt15009428,"nm0147147,nm3267876,nm7645984",nm0891216,nm0297229
Invasión,tt9737326,"nm0267042,nm3101617,nm3875456",,nm1334526
Bad Monkey: negocios turbios,tt15203646,"nm0000681,nm0129749,nm3008739",,nm0382437
Teherán,tt10577736,"nm8115155,nm0869467,nm1937116",,nm1148564
Dickinson,tt8518136,"nm2794962,nm3933540,nm3793318",,nm5509776
Dr. Brain,tt15758760,"nm1310525,nm1775551,nm3725226",,nm0453518
The Bucaneers: Aristócratas por Amor,tt21108774,"nm8109082,nm2647981,nm4796309",,nm5200787
Blitz,tt15939198,"nm1519680,nm6170168,nm7064768",nm2588606,nm2588606
Monarch: el legado de los monstruos,tt17220216,"nm3660091,nm0000621,nm4169922",,nm3969927
Greyhound: Enemigos bajo el mar,tt6048922,"nm0000158,nm0000223,nm0334318",nm0773689,nm0000158
Before,tt0112471,"nm0000160,nm0000365,nm0248600",nm0000500,nm0000500
Ghosted,tt15326988,"nm0262635,nm1869101,nm0004778",nm0002077,nm1014201
Secuestro en el aire,tt19854762,"nm0252961,nm0556453,nm0066586",,nm1637768
Palmer,tt6857376,"nm0005493,nm10994806,nm5131141",nm0001770,nm1672154
Plan en familia,tt16431870,"nm0000242,nm1157358,nm0001354",nm0148116,nm1548597
WeCrashed,tt12005128,"nm0001467,nm0004266,nm5568803",,nm2282483
El banquero,tt6285944,"nm1107001,nm0000168,nm0396558",nm1079776,nm6276982
Historial criminal,tt21088136,"nm0134922,nm2685264,nm4258785",,nm0752107
The Afterparty,tt12614214,"nm1840504,nm3931538,nm3856316",,nm0588087
Todo el dinero,tt14271498,"nm0748973,nm5049751,nm5527841",,nm1863572
Finch,tt3420504,"nm0000158,nm2655177,nm8037956",nm0764601,nm2357110
Cuentos asombrosos,tt5165368,"nm3729721,nm3271473,nm0001233",,nm2597661
Los héroes del tiempo,tt0081633,"nm0000092,nm0000125,nm0001167",nm0000416,nm0001589
El espíritu de la Navidad,tt35228087,,nm9822023,nm9822023
Cherry,tt9130508,"nm4043618,nm2731980,nm2930503",nm0751577,nm0962600
La Maison,tt17505492,"nm0320759,nm0004133,nm0658041",nm2977234,nm11008851
Apariencias,tt13694702,"nm1813221,nm2719825,nm6351089",,nm2302571
Los instigadores,tt24169886,"nm0000354,nm2186865,nm9859888",nm0510731,nm1118885
Familia de medianoche,tt18753124,"nm1370408,nm8901592,nm3886586",,nm2157916
La dama del lago,tt0478660,"nm2034058,nm2032081,nm2024578",nm2005409,nm2005409
Sharper: un plan perfecto,tt12573454,"nm0000194,nm1659221,nm6819854",nm0139081,nm2651299
Roar,tt9174600,"nm0923266,nm7248827,nm0000173",,nm1754499
Constelación,tt19395018,"nm0636426,nm0052186,nm0195439",,nm1739929
Cowboy Cartel,tt33030134,"nm5725643,nm16578905,nm13118843",,
Ciclos,tt10982034,"nm1245863,nm3776734,nm1604939",,nm8049291
Yo me encargo de la cerveza,tt10268488,"nm1374980,nm0000128,nm4917623",nm0268380,nm0268380
Ingredientes para la vida,tt18225192,"nm3046771,nm8970457",,nm1560977
Lisey's Story,tt3319460,"nm0000194,nm0654110,nm0000492",,nm0000175
Las Azules,tt20516590,"nm0605224,nm0765251,nm1161078",,nm2277392
La Navidad de Charlie Brown,tt0059026,"nm0022817,nm0233358,nm0238741",nm0006837,nm0776433
New Look,tt18177528,"nm0578853,nm0000300,nm1268968",,nm3904054
Yo,tt7335184,"nm0046112,nm6442992,nm2492359",,nm0075528
Lo último que me dijo,tt13745850,"nm0004950,nm3886028,nm0182666",,nm2969055
Tierra de Mujeres,tt21622048,"nm0519456,nm1085051,nm14178623",,nm2131030
Sunny,tt0472954,"nm0206359,nm1097351,nm0568390",,nm0568390
La vida secreta de los animales,tt0359950,"nm0001774,nm1325419,nm1789985",nm0001774,nm0175726
The Big Cigar: la gran fuga,tt19399602,"nm2428245,nm0005273,nm2274707",,nm2646452
Buscando a Wanda,tt29011445,"nm0538443,nm0825398,nm10139853",,nm1051081
Luck,tt7214954,"nm8405300,nm0670408,nm0000404",nm0391996,nm1195697
El Premio De Tu Vida,tt14761860,"nm1483369,nm1827488,nm12253311",,nm2346627
Una maldición familiar,tt29180190,"nm8985299,nm4356347,nm4364576",,nm12318534
Palm Royale,tt8888540,"nm1325419,nm0005193,nm0524197",,nm13235148
Las luminosas,tt2953250,"nm0005253,nm0609944,nm5623883",,nm2971153
On the Rocks,tt9606374,"nm0000195,nm0429069,nm0005541",nm0001068,nm0001068
Still,tt14961016,"nm0868639,nm0005244,nm0578080",nm0758574,nm2675515
Bailando por la vida,tt14376344,"nm4323708,nm0424848,nm10024649",nm4323708,nm4323708
El mundo en moto,tt0403778,"nm0000191,nm0095564,nm1256362",,nm1256362
Acapulco,tt13567344,"nm6264344,nm12518428,nm0017343",,nm2077283
Ciudad en llamas,tt14961770,"nm3733434,nm5200476,nm3681769",,nm6054276
High Desert,tt13142324,"nm0000099,nm0004951,nm4030255",,nm0275650
Después del huracán,tt3283594,"nm0267812,nm0427728,nm2889826",,nm0193681
Franklin,tt18351584,"nm0000140,nm7415871,nm0990547",,nm0254945
Raymond & Ray,tt15334032,"nm0000191,nm14151887,nm0000160",nm0006554,nm0006554
El canto del cisne,tt0184326,"nm0651216,nm0260108,nm0350861",nm0159741,nm0862865
La Serpiente de Essex,tt12976224,"nm0000132,nm1089991,nm0226817",,nm1163237
La caza del asesino,tt16912512,"nm0580014,nm4996269,nm7594279",,nm2196829
Los últimos días de Ptolemy Grey,tt13820498,"nm0000168,nm6195774,nm1983843",,nm0608859
Billie Eilish: The World's A Little Blurry,tt11459366,"nm8483808,nm3906552,nm0047896",nm0191712,nm0191712
