title_spanish,tconst,actors,director,writter
El juego del calamar,tt10919420,"nm0497631,nm1059827,nm1601080",,nm1375363
Érase una vez el Oeste,tt24069848,"nm2018237,nm2365811,nm2851530",,nm1872664
Machos alfa,tt18482892,"nm1347093,nm0555093,nm0317762",,nm1461377
Palomas negras,tt27995113,"nm0461136,nm0924210,nm0484104",,nm3620967
Casa en llamas,tt1299353,"nm0209719,nm1065291,nm0488596",nm0328541,
El agente nocturno,tt13918776,"nm2773059,nm4578161,nm6826652",,nm7632600
Outlander,tt3006802,"nm1495520,nm1537825,nm5310225",,nm1748442
Arcane,tt11126994,"nm1204760,nm2794962,nm3480246",,nm1865649
El rastro,tt23221806,"nm0250940,nm4696919,nm0509555",,nm2171941
Te echo de menos,tt8491884,"nm8235180,nm8235183",,nm2121757
1992,tt4959750,"nm0879085,nm0000501,nm2207222",nm1033517,nm0672011
Equipaje de mano,tt21382296,"nm5473782,nm0000867,nm6259860",nm1429471,nm2686579
Shameless,tt1586680,"nm0000513,nm3103119,nm2087739",,nm0008036
Cien años de soledad,tt9892936,"nm1917786,nm10470056,nm3014753",,nm8317725
El joven Sheldon,tt6226232,"nm8071137,nm1409365,nm1115741",,nm0521143
Departure: Vuelo 716,tt9252156,"nm0659544,nm0719321,nm0390285",,nm7186988
Sakamoto Days,tt17069148,"nm0837523,nm4858403,nm2769344",,nm4678539
The Office,tt0386676,"nm0933988,nm1024677,nm0278979",,nm0199948
Alice in Borderland,tt10795658,"nm4081467,nm3145634,nm0633579",,nm10907962
Breaking Bad,tt0903747,"nm0186505,nm0348152,nm0666739",,nm0319213
Dragon Ball Z Kai,tt1409055,"nm0637586,nm0945881,nm0770832",,nm1890325
Perdidos,tt0411008,"nm0306201,nm0391326,nm0453746",,nm0009190
Dragon Ball Daima,tt29485149,"nm0637586,nm2146022,nm1309787",,nm2405043
Si las estrellas hablaran,tt26215550,"nm3316279,nm1045839,nm2442113",,nm8600149
Dandadan,tt30217403,"nm11134848,nm5137121,nm7583837",,nm5003154
De vuelta a la acción,tt21191806,"nm0004937,nm0000139,nm5628190",nm1164861,nm1164861
Dr. House,tt0412142,"nm0491402,nm0000494,nm0004898",,nm0794914
La última noche en Tremor,tt27349314,"nm2626646,nm1308063,nm0865950",,nm1079062
Attack on Titan,tt2560140,"nm2171329,nm0745310,nm2986974",,nm4697729
Dexter,tt0773262,"nm0355910,nm1358539,nm0953882",,nm2416255
Interestelar,tt0816692,"nm0000995,nm0000190,nm3237775",nm0634240,nm0634300
65: Al Borde De La Extinción,tt12261776,"nm3485845,nm7567556,nm5668548",nm1399714,nm1399714
No. 24,tt23782584,"nm8447868,nm0387009,nm13203015",nm0026174,nm0517179
Ripley,tt11016042,"nm0778831,nm0266824,nm1926865",,nm0383604
Mi reno de peluche,tt13649112,"nm6876120,nm2934977,nm9927131",,nm6876120
Peaky Blinders,tt2442560,"nm0614165,nm2167957,nm2570706",,nm1140275
Better Call Saul,tt3032476,"nm0644022,nm0052186,nm0781533",,nm0319213
La diplomática,tt17491088,"nm0005392,nm0001722,nm1408543",,nm1263223
The Walking Dead,tt1520211,"nm0005342,nm0564350,nm1659348",,nm1891501
Hermanos de sangre,tt0185906,"nm0342241,nm0507073,nm0515296",,nm0024421
El problema de los 3 cuerpos,tt13016388,"nm5381254,nm0192377,nm2555462",,nm1125275
La llegada,tt2543164,"nm0010736,nm0719637,nm0001845",nm0898288,nm2104063
Sonic: La película,tt18259086,"nm0000120,nm2355635,nm0000206",nm1733778,nm1352459
Love Actually,tt0314331,"nm0631490,nm0279524,nm1141990",nm0193485,nm0193485
Ad vitam,tt32138452,"nm0133899,nm0128801,nm4051466",nm1211787,nm0133899
Un lugar para soñar,tt9077530,"nm1020036,nm0376540,nm0492687",,nm8151510
Schitt's Creek,tt3526078,"nm0506405,nm0001573,nm2391794",,nm2391794
Crímenes,tt10915060,"nm0005386,nm0813691,nm2322539",nm0994416,nm1545566
"Besos, Kitty",tt14490706,"nm8264172,nm9371499,nm11197928",,nm6614229
Mad Men,tt0804503,"nm0358316,nm0005253,nm0440229",,nm1980806
La bruja,tt4263482,"nm5896355,nm0408591,nm0225483",nm3211470,nm3211470
Desorden público,tt30096238,"nm0316074,nm0316271,nm6188249",,nm3560629
Dark,tt5753856,"nm3836977,nm0251526,nm3582197",,nm2171633
One Punch Man,tt4508902,"nm2322250,nm5481013,nm5489754",,nm0568772
Suits,tt1632701,"nm0532683,nm0389069,nm1423048",,nm0466689
Prison Break,tt0455275,"nm0700712,nm0589505,nm1004774",,nm0771228
Stranger Things,tt4574334,"nm0000213,nm1092086,nm6016511",,nm1819972
The Resident,tt6483832,"nm0194516,nm2110485,nm0339304",,nm0427468
Monstruos: La historia de Lyle y Erik Menendez,tt13207736,"nm1404239,nm0420955,nm2599408",,nm0107302
Black Mirror,tt2085059,"nm2148911,nm0230826,nm0487406",,nm0111765
Nadie Quiere Esto,tt26933824,"nm0068338,nm0111013,nm4419771",,nm1634958
Bandidos,tt11262142,"nm2130958,nm7527792,nm1001435",,nm0879377
Los caballeros,tt13210838,"nm3772243,nm2546012,nm3958526",,nm0005363
La locura,tt26676489,"nm0231458,nm1750371,nm0651159",,nm0067619
¡Olvídate de mí!,tt0338013,"nm0000120,nm0000701,nm0004423",nm0327273,nm0442109
The 8 Show,tt30423279,"nm3683989,nm6262665,nm6916719",,nm15590545
La Palma,tt30317229,"nm2186074,nm0471601,nm10512199",,nm0345674
The Good Doctor,tt6470478,"nm0383603,nm0771493,nm0004991",,nm0794914
Entrevías,tt13980362,"nm0180580,nm0708686,nm0848110",,nm2236133
Un hombre infiltrado,tt26670955,"nm0001101,nm1634944,nm3499685",,nm1321658
Duna,tt1160419,"nm3154303,nm0272581,nm1209966",nm0898288,nm3123612
Seis Triple Ocho,tt24458622,"nm0913488,nm6372377,nm1040389",nm1347153,nm2760178
Kimetsu no Yaiba: Guardianes de la Noche,tt11032374,"nm5137121,nm6981978,nm1683003",nm1417038,nm10281577
Asalto al Banco Central,tt29386497,"nm5969653,nm8061858,nm3986032",,nm0025538
Spider-Man: Cruzando el Multiverso,tt9362722,"nm4271336,nm2794962,nm3109964",nm1690966,nm0520488
Noche y dia,tt1013743,"nm0000129,nm0000139,nm0765597",nm0003506,nm0642277
Las abogadas,tt26446256,"nm6098424,nm1354955,nm15101565",,nm0274407
Snowpiercer: Rompenieves,tt6156584,"nm4377526,nm2316017,nm2226071",,nm0295264
El peor vecino del mundo,tt7405458,"nm0000158,nm3769182,nm2733631",nm0286975,nm7554519
Dr. Stone,tt9679542,"nm3311160,nm4868981,nm10631700",,nm12000049
Aquí no hay quien viva,tt0381733,"nm0968559,nm0191123,nm0082118",,nm2244391
Whiplash. Música y obsesión,tt2582802,"nm1886602,nm0799777,nm0001663",nm3227090,nm3227090
La chica de nieve,tt15787870,"nm9875384,nm1938814,nm9803023",,nm12741030
Wallace y Gromit: La venganza se sirve con plumas,tt17163970,"nm2038317,nm0443153,nm10778177",nm1271549,nm0123666
La colina de los perros,tt0118375,"nm0431918,nm0001562,nm0781899",,nm0199948
Valle salvaje,tt33297589,"nm14642963,nm0781220,nm9186159",,nm2956356
Cobra Kai,tt7221388,"nm0001494,nm0951420,nm1136435",,nm0372222
Fachadas,tt19891306,"nm0004802,nm1282966,nm3434305",,nm10683228
Jujutsu Kaisen,tt12343534,"nm1361499,nm7121595,nm6793636",,nm12013605
Origen,tt9813792,"nm0674782,nm1503432,nm0047248",,nm7650310
Una joven prometedora,tt9620292,"nm0111013,nm2200658,nm3931538",nm2193504,nm2193504
El abogado del Lincoln,tt13833978,"nm2636310,nm1182048,nm0760151",,nm0175093
Mindhunter,tt5290382,"nm2676147,nm0564697,nm1396022",,nm0235123
Vikingos,tt2306299,"nm0935395,nm0803890,nm1573253",,nm0386694
A dos metros bajo tierra,tt0248654,"nm0470244,nm0355910,nm0175814",,nm0050332
Senna,tt13024830,"nm5987206,nm2546012,nm10100992",,nm0025241
Se7en: Los Siete Pecados Capitales,tt0114369,"nm0000151,nm0001825,nm0669254",nm0000399,nm0001825
Castlevania: Nocturno,tt14833612,"nm5680444,nm9096847,nm5177929",,nm0975294
El truco final (El prestigio),tt0482571,"nm0413168,nm0000288,nm0000323",nm0634240,nm0634300
Cadena perpetua,tt0111161,"nm0000209,nm0000151,nm0348409",nm0001104,nm0000175
The Blacklist,tt2741602,"nm0000652,nm1459109,nm0502015",,nm0092578
Infiltrados,tt0407887,"nm0000138,nm0000354,nm0000197",nm0000217,nm1184258
Zodiac,tt0443706,"nm0350453,nm0749263,nm0000381",nm0000399,nm0888743
El padrino,tt0068646,"nm0000008,nm0000199,nm0001001",nm0000338,nm0701374
La pareja perfecta,tt11514868,"nm0000173,nm0000630,nm2016723",,nm4906272
The Beasts,tt5090568,"nm6588867,nm6195774,nm0904967",nm4023702,nm1703612
Spy x Family,tt13706018,"nm3414040,nm6662487,nm2867434",,nm12957639
Snatch. Cerdos y diamantes,tt0208092,"nm0011744,nm0065307,nm0065874",nm0005363,nm0005363
La vida según Philomena Cunk,tt34874258,"nm1854269,nm14065013,nm0791102",nm2667446,nm0111765
El legado del diablo,tt7784604,"nm1842974,nm0000321,nm0001057",nm4170048,nm4170048
El pretendiente perfecto,tt30972832,"nm11382630,nm2347393,nm11195876",,nm8684078
Asura,tt34570673,"nm0594533,nm0648762,nm1066974",,nm0466153
The Witcher,tt5180504,"nm8463347,nm0147147,nm9923141",,nm1274355
No te preocupes querida,tt10731256,"nm6073955,nm4089170,nm1517976",nm1312575,nm4199289
La caza,tt8787372,"nm3816157,nm2523877,nm1050811",,nm0554962
The Holiday (Vacaciones),tt0457939,"nm0000139,nm0000701,nm0000179",nm0583600,nm0583600
Perfil falso,tt14494938,"nm5429211,nm8724526,nm0327862",,nm1130052
Los renglones torcidos de Dios,tt13229894,"nm1036659,nm0273464,nm3084972",nm1079062,nm1079062
Pulp Fiction: Tiempos violentos,tt0110912,"nm0000619,nm0001625,nm0522503",nm0000233,nm0000233
Hasta el último hombre,tt2119532,"nm1940449,nm1372922,nm5681790",nm0000154,nm0770938
¿Conoces a Joe Black?,tt0119643,"nm0000093,nm0000164,nm0001231",nm0000976,nm0651592
Seinfeld,tt0098904,"nm0000632,nm0724245,nm0004517",,nm0202970
Fullmetal Alchemist: Brotherhood,tt1355642,"nm0931060,nm0443509,nm2467242",,nm2086079
El buen patrón,tt13066182,"nm0000849,nm1254805,nm11579814",nm0508208,nm0508208
Sexo en Nueva York,tt0442579,"nm1715163,nm0000326,nm0000572",,
El príncipe dragón,tt8688814,"nm1123750,nm4037810,nm5407452",,nm1132209
El diario de Noah,tt1650043,"nm2325393,nm1256602,nm0006713",nm0101047,nm0007091
