title_spanish,tconst,actors,director,writter
Yellowstone,tt4236770,"nm0000126,nm2093766,nm0717709",,nm0513170
El nivel secreto,tt33204697,"nm8937582,nm1116914,nm0851317",,nm14044194
Shameless,tt1586680,"nm0000513,nm3103119,nm2087739",,nm0008036
La virgen roja,tt27599713,"nm0632385,nm5235293,nm1938814",nm2315216,nm4485092
Parpadea dos veces,tt14858658,"nm7609875,nm1475594,nm0790057",nm2368789,nm2368789
On call: Long Beach P.D.,tt8788606,"nm10207167,nm7068228,nm10003182",,nm7068228
La que se avecina,tt0922037,"nm1687275,nm1411221,nm0410706",,nm1461377
Rivales,tt16426418,"nm4576311,nm4853066,nm3918035",nm0345174,nm3936259
La plataforma,tt14273790,"nm0322513,nm0358922,nm5878360",,nm12455092
El joven Sheldon,tt6226232,"nm8071137,nm1409365,nm1115741",,nm0521143
El señor de los anillos: Los anillos de poder,tt7631058,"nm6077056,nm8190914,nm0249876",,nm4259881
The Boys,tt1190634,"nm0881631,nm4425051,nm1102278",,nm1212017
The Office,tt0386676,"nm0933988,nm1024677,nm0278979",,nm0199948
Dragon Ball Z Kai,tt1409055,"nm0637586,nm0945881,nm0770832",,nm1890325
Fargo,tt2802850,"nm2798112,nm0000671,nm0004988",,nm1279638
Incendies,tt1255953,"nm1323233,nm4841645,nm0320721",nm0898288,nm1416431
Fallout,tt12637874,"nm3480246,nm2343418,nm0324658",,nm9329350
Gladiador,tt0172495,"nm0000128,nm0001618,nm0001567",nm0000631,nm0291905
Mulholland Drive,tt0166924,"nm0915208,nm0060931,nm1250340",nm0000186,nm0000186
Beast Games,tt31812476,"nm10055663,nm11877717,nm10714478",,nm14573176
Dr. House,tt0412142,"nm0491402,nm0000494,nm0004898",,nm0794914
This Is Us,tt5555260,"nm0893257,nm0601553,nm1250791",,nm1557594
Código: Traje rojo,tt14948432,"nm0425005,nm0262635,nm0005154",nm0440458,nm0604555
Attack on Titan,tt2560140,"nm2171329,nm0745310,nm2986974",,nm4697729
Interestelar,tt0816692,"nm0000995,nm0000190,nm3237775",nm0634240,nm0634300
Cross,tt11794812,"nm0927865,nm0388038,nm2248149",,nm8427457
Culpa tuya,tt28510079,"nm5913850,nm10140379,nm1799971",nm0328126,nm13982803
Parásitos,tt6751668,"nm0814280,nm1310525,nm1856097",nm0094435,nm0094435
Peaky Blinders,tt2442560,"nm0614165,nm2167957,nm2570706",,nm1140275
Chicago P.D.,tt2805096,"nm0000892,nm1005514,nm2313758",,nm0104973
Chicago Fire,tt2261391,"nm1978325,nm0831601,nm2866876",,nm0104973
Alice (Subservience),tt24871974,"nm1083271,nm9016108,nm0956526",nm5642951,nm4816650
Sin Tregua,tt1855199,"nm0350453,nm0671567,nm2358540",nm0043742,nm0043742
Those About to Die,tt10569934,"nm3701064,nm0554120,nm9381634",,nm0543438
The Expanse,tt3230854,"nm1711829,nm4625680,nm1434871",,nm6439608
Chicago Med,tt4655480,"nm0012679,nm0580924,nm0001624",,nm0104973
El cuento de la criada,tt5834204,"nm0005253,nm2088803,nm0235652",,nm0588005
Reacher,tt9288030,"nm2024927,nm3080233,nm0329511",,nm1676193
Alas blancas,tt11068094,"nm7291339,nm12495300,nm0888092",nm0286975,nm0093560
Love Actually,tt0314331,"nm0631490,nm0279524,nm1141990",nm0193485,nm0193485
Supernatural,tt0460681,"nm0655585,nm0010075,nm0172557",,nm0471392
Merlí,tt4580372,"nm0649649,nm0690290,nm1507717",,nm2108530
The Witching Season,tt4993722,"nm4731768,nm7717280,nm8246537",,nm5257743
La suerte de los Logan,tt5439796,"nm5008863,nm1475594,nm0641389",nm0001752,nm0039583
12 hombres sin piedad,tt3882322,"nm6646602,nm6646603,nm5241849",nm4086601,nm4086601
Doctor Who,tt0436992,"nm0855039,nm1741002,nm0109070",,nm0628285
Mr. & Mrs. Smith,tt14044212,"nm2255973,nm4224109,nm0200452",,nm8015244
Mr. Robot,tt4158110,"nm1785339,nm0000225,nm3361199",,nm1322753
Fleabag,tt5687612,"nm3564817,nm5427486,nm1469236",,nm3564817
Memories of Murder (Crónica de un asesino en serie),tt0353969,"nm0814280,nm1235292,nm1323287",nm0094435,nm0094435
The Good Doctor,tt6470478,"nm0383603,nm0771493,nm0004991",,nm0794914
La liberación,tt32879566,"nm5096234,nm0699258,nm2415604",,nm2004888
El asesino del juego de citas,tt7737800,"nm0447695,nm4683167,nm0355024",nm0447695,nm2295916
Duna,tt1160419,"nm3154303,nm0272581,nm1209966",nm0898288,nm3123612
Kimetsu no Yaiba: Guardianes de la Noche,tt11032374,"nm5137121,nm6981978,nm1683003",nm1417038,nm10281577
Reina roja,tt20883126,"nm2780716,nm3986032,nm2033210",,nm1077639
Noche y dia,tt1013743,"nm0000129,nm0000139,nm0765597",nm0003506,nm0642277
Aquí no hay quien viva,tt0381733,"nm0968559,nm0191123,nm0082118",,nm2244391
La chica salvaje,tt9411972,"nm8402992,nm4973896,nm6170168",nm3229507,nm3380457
Ella,tt0327679,"nm0004266,nm0199215,nm0000144",nm0641373,nm0185934
Origen,tt9813792,"nm0674782,nm1503432,nm0047248",,nm7650310
Akira,tt0094625,"nm0412628,nm0765815,nm0468708",nm0960028,nm0960028
New Amsterdam,tt7817340,"nm2375297,nm2857778,nm1544650",,nm4080457
El señor de los anillos: La comunidad del anillo,tt0120737,"nm0397102,nm0032370,nm0000276",nm0001392,nm0866058
Odio el verano,tt26745482,"nm0959304,nm0968559,nm13860333",nm8061816,nm1319488
Shutter Island,tt1130884,"nm0000138,nm0749263,nm0001426",nm0000217,nm0436164
No es país para viejos,tt0477348,"nm0000169,nm0000849,nm0000982",nm0001053,nm0001054
El juego de la muerte,tt15521624,"nm10036313,nm9041199,nm12981971",nm9653761,nm9653761
Aída,tt0440981,"nm1346713,nm0900402,nm0646575",,nm2538293
Hit Man. Asesino por casualidad,tt20215968,"nm1412974,nm5245722,nm3994184",nm0000500,nm0000500
Yo no soy esa,tt27672967,"nm1531585,nm3479390,nm1499472",nm0728048,nm3963209
30 monedas,tt9764386,"nm0273464,nm3816157,nm1775614",,nm0346277
La ciudad de las estrellas (La La Land),tt3783958,"nm0331516,nm1297015,nm2353430",nm3227090,nm3227090
Cómo cazar a un monstruo,tt33050454,"nm16392245,nm9142592,nm16501323",,nm1202178
Downton Abbey,tt1606375,"nm0095017,nm3882295,nm0141697",,nm0271501
El juego del asesino,tt0327785,"nm1176985,nm16535493,nm15339800",nm0675102,nm0712444
Ley y orden: Unidad de Víctimas Especiales,tt0203259,"nm0002127,nm0001384,nm0282648",,nm0937725
The Blacklist,tt2741602,"nm0000652,nm1459109,nm0502015",,nm0092578
South of Hell,tt4147780,"nm0002546,nm2185539,nm0748541",,nm2187301
Crónicas vampíricas,tt1405406,"nm0913587,nm0813812,nm0334159",,nm0687096
Super Mario Bros: La película,tt6718170,"nm0724656,nm0085312,nm1146051",nm1739338,nm3821363
Tren bala,tt12593682,"nm0000093,nm1428821,nm1093951",nm0500610,nm5599654
La leyenda de Vox Machina,tt11247158,"nm1154161,nm0043552,nm0424534",,nm0699372
El show de Truman,tt0120382,"nm0000120,nm0001473,nm0001187",nm0001837,nm0629272
Zodiac,tt0443706,"nm0350453,nm0749263,nm0000381",nm0000399,nm0888743
Dulce estafa,tt19636984,"nm0553269,nm0224565,nm2280428",,nm5094589
Atrápame si puedes,tt0264464,"nm0000138,nm0000158,nm0000686",nm0000229,nm0007646
El legado del diablo,tt7784604,"nm1842974,nm0000321,nm0001057",nm4170048,nm4170048
Los Tudor,tt0758790,"nm0001667,nm0147147,nm0112390",,nm0386694
Mi yo del futuro,tt18559464,"nm5204873,nm2201555,nm4007171",nm1177914,nm1177914
Cuerpo escombro,tt30244989,"nm3657043,nm2574226,nm1238859",nm1210984,nm1210984
No te preocupes querida,tt10731256,"nm6073955,nm4089170,nm1517976",nm1312575,nm4199289
La caza,tt8787372,"nm3816157,nm2523877,nm1050811",,nm0554962
"Nosferatu, vampiro de la noche",tt0079641,"nm0001428,nm0000254,nm0004486",nm0001348,nm0001348
El mentalista,tt1196946,"nm0048932,nm0000677,nm1085727",,nm0375285
Culpa Mía,tt21909764,"nm5913850,nm10140379,nm1799971",nm0328126,nm13982803
Algunos hombres buenos,tt0104257,"nm0000129,nm0000197,nm0000193",nm0001661,nm0815070
El hombre elefante,tt0080678,"nm0000164,nm0000457,nm0000843",nm0000186,nm0212246
La juventud,tt3312830,"nm7088459,nm2321715,nm11837337",nm0815204,nm0815204
Nefarious. Cuando habla el diablo,tt14537248,"nm0001218,nm0067768,nm0645122",nm0465484,nm0813301
El Padre,tt10272386,"nm1469236,nm0000164,nm0309693",nm1725469,nm0358960
Matrix,tt0133093,"nm0000206,nm0000401,nm0005251",nm0905154,nm0905152
Los Fabelman,tt14208870,"nm0931329,nm0200452,nm0736622",nm0000229,nm0000229
The Good Fight,tt5853176,"nm0004724,nm1511685,nm2148665",,nm0455080
Look Back: Continúa Dibujando,tt31711040,"nm11866850,nm11504420,nm0756874",nm2545337,nm2545337
En fin,tt27599915,"nm0968559,nm2423567,nm10175874",,nm5388554
Salvar al soldado Ryan,tt0120815,"nm0000158,nm0001744,nm0122653",nm0000229,nm0734441
Concrete Utopia,tt13086266,"nm0496932,nm6124994,nm3291520",nm6174515,nm6174515
Érase una vez en… Hollywood,tt7131622,"nm0000138,nm0000093,nm3053338",nm0000233,nm0000233
La red social,tt1285016,"nm0251986,nm1913734,nm3728884",nm0000399,nm0815070
Fast & Furious X,tt1013752,"nm0004874,nm0908094,nm0108287",nm0510912,nm0604555
Calendario mortal,tt30292390,"nm4533391,nm3437701,nm3177935",nm5528406,nm4443178
Imparable: La historia de Anthony Robles,tt3864060,"nm7851611,nm4549417,nm0000182",nm0325549,nm0150749
El hombre en el castillo,tt1740299,"nm1111968,nm0209249,nm0001722",,nm0001140
Blade Runner,tt0083658,"nm0000148,nm0000707,nm0000442",nm0000631,nm0266684
Las chicas Gilmore,tt0238784,"nm0334179,nm0088127,nm0012962",,nm0792371
Los hombres de Paco,tt0475464,"nm0869718,nm0631326,nm1685281",,nm1210565
Malditos bastardos,tt0361748,"nm0000093,nm0491259,nm0910607",nm0000233,nm0000233
Minority Report,tt0181689,"nm0000129,nm0001884,nm0004996",nm0000229,nm0291082
El Juego del Ascensor,tt10919420,"nm0497631,nm1059827,nm1601080",,nm1375363
Apocalipsis Z: El principio del fin,tt27599851,"nm0946962,nm4170579,nm7152208",nm2165066,nm3857756
La rueda del tiempo,tt33613787,"nm16583770,nm4444754",nm15318905,nm4444754
Besnilo,tt5628902,"nm0888882,nm2618951,nm0040470",nm3609341,nm0785063
Midsommar,tt8772262,"nm6073955,nm2930503,nm9859585",nm4170048,nm4170048
Orgullo y prejuicio,tt0414387,"nm0461136,nm1506908,nm0683253",nm0942504,nm0595738
Naruto Shippuden,tt0988824,"nm7597176,nm0847594,nm0281068",,nm1618263
Shrek,tt0126029,"nm0000196,nm0000552,nm0000139",nm0011470,nm0825308
Paatal Lok,tt9680440,"nm4188433,nm5873799,nm1493836",,nm2907705
The O.C.,tt0362359,"nm0001251,nm0746414,nm1360270",,nm0777300
Spider-Man: Sin camino a casa,tt10872600,"nm4043618,nm3918035,nm1212722",nm1218281,nm0571344
Samuel,tt6208950,"nm2452327,nm0006878,nm4884577",nm0299309,nm0299309
La Navidad pasada,tt3043594,"nm0032375,nm0962261,nm1136435",nm0266302,nm0836129
El diario de Bridget Jones,tt0243155,"nm0000250,nm0428121,nm0408309",nm0536632,nm0276144
Regreso al futuro,tt0088763,"nm0000150,nm0000502,nm0000670",nm0000709,nm0000709
Train to Busan,tt5700672,"nm1508003,nm1869756,nm3011350",nm3613566,nm6711056
"Elf, el duende",tt0319343,"nm0002071,nm0001001,nm0627878",nm0269463,nm1183854
Hasta el último hombre,tt2119532,"nm1940449,nm1372922,nm5681790",nm0000154,nm0770938
Jurassic Park (Parque Jurásico),tt0107290,"nm0000554,nm0000368,nm0000156",nm0000229,nm0000341
